A metodologia SCRUM é baseada em:	1 - Reuniões periódicas para discutir a resolução de problemas	2 - Programação em pares	3 - Pequenos ciclos de planejamento, desenvolvimento e feedback	4 - Um processo iterativo das seguintes etapas: levantamento de requisitos, análise de requisitos, projeto, implementação, testes e implantação.	3
Em relação ao SCRUM, marque a opção FALSA:	1 - Orienta como organizar o processo de desevolvimento e não como desenvolver o software	2 - É um método de desenvolvimento ágil e portanto é pautado nos princípios ágeis	3 - Prevê a adaptação dos requisitos ao longo do processo desenvolvimento	4 - O processo de desenvolvimento possui etapas focadas em atividades especializadas, que serão integradas ao final do processo para compor o software. 	4
A função do scrum master não é:	1- Remover obstaculos que estão atrapalhando a equipe	2- Assegurar que a equipe respeite e siga os valores e as práticas do Scrum.	3- Chefiar a equipe, e atuar como lider do projeto.	4- Proteger a equipe assegurando que ela não se comprometa excessivamente com relação àquilo que é capaz de realizar durante um Sprint.	3
O objetivo do daily scrum é:	1- Disseminar o conhecimento sobre o que foi feito no dia anterior.	2- descrever as funcionalidades de maior prioridade para a equipe.	3- identificar impedimentos	4- Priorizar o trabalho do dia que se inicia	2
Quais as três partes básicas da equipe do scrum?	1- Product Owner, Scrum Master, Scrum Team	2 - Scrum lider, Product Boss, Product Team 	3- Team Owner, Scrum Master, Scrum Boss	4- Product Boss, Product Owner, Product Team	1
Os participantes do Sprint Review tipicamente incluem:	1- Somente o Product Owner e o Scrum Master.	2- Somente o Scrum Master e o Scrum Team	3- Somente o Product Owner e a gerência	4- o Product Owner, o Scrum Team, o Scrum Master, gerência, clientes e engenheiros de outros projetos.	4
Um Scrum Team típico tem:	1- de 2 a 4 pessoas	2- de 6 a 10 pessoas	3- No máximo 5 pessoas	4- No mínimo 12 pessoas	2
Um Scrum Team tem a seguinte divisão funcional:	1- Não existe necessariamente uma divisão funcional através de papéis tradicionais	2- Programadores e Designers	3- Programadores e Analistas	4- Designers e analista	1
O que é Scrum of Scrums?	1- Nome dado para definir um conjunto de Scrum Masters	2- Um conjunto de 12 Scrum Team	3- A principal abordagem para trabalhar com equipes grandes no Scrum	4- A principal abordagem para trabalhar com equipes pequenas no Scrum	3
O fato do Daily Scrum poder ter ouvintes de fora da equipe tem vantagem por que?	1- Os ouvintes podem opinar para dar ideias 	2- Os uvintes podem levar novos problemas para serem tratados no projeto	3- Os ouvintes expoem ideias previamente criadas e comunicadas ao Product Owner	4-  Isso torna os Daily Scrums uma excelente forma para uma equipe disseminar informações sobre o estado do projeto.	4
Caso um desenvolvedor esteja com problemas com sua equipe de desenvolvimento, quem deve resolvê-lo?	O Scrum Master, pois é um facilitador para a equipe de desenvolvimento.	O Dono do Produto, pois ele é responsável pela equipe de desenvolvimento.	A própia equipe de desenvolvimento, pois é auto-gerenciável.	O responsável pela contratação e demissão de funcionários.	3
A definição de preparado é:	Item estar preparado para o desenvolvimento.	Produto pronto para entrega.	Testes estão preparados para o código.	A equipe está preparada para a próxima sprint.	1
Qual o papel do dono do produto?	Garantir o entendimento do Backlog e dos valores esperados pelo cliente para toda a equipe.	Identificar e solucionar impedimentos.	Escolher sozinho os itens a serem desenvolvidos na Sprint.	Desenvolver as reuniões de retrospectiva, revisão e diária.	1
Quem determina como o trabalho da equipe de desenvolvimento deve ser realizado?	O Scrum Master, pois é um facilitador para a equipe de desenvolvimento.	A equipe de desenvolvimento.	O dono do produto, pois é responsável pela qualidade e entrega de valor do produto desenvolvido.	O desenvolvedor mais experiente do grupo.	2
Sobre o planejamento poker, assinale a alternativa incorreta.	É um método de planejamento para obter estimativas de tempo e esforço.	Durante a atividade, o Scrum Master tem a tarefa de explicar o que deverá ser desenvolvido e o Dono do Produto é responsável por coordenar as tarefas.	Um desacordo durante a atividade deverá ser mediado pelo coordenador da atividade.	Todos os membros da equipe de desenvolvimento participam do planejamento poker.	2
A definição de preparado é definida:	Pela equipe de desenvolvimento.	Pelo dono do produto.	Pelo Scrum Master.	Pelo cliente.	1
Sobre o Scrum Master, assinale a alternativa correta.	Toma decisões pelo time.	Tenta encontrar disfunções e corrigilas com o objetivo de retirar obstáculos para a equipe de desenvolvimento.	Não é representante do time.	Guia e ensina ao time os valores que o cliente espera do produto.	3
Sobre pontos de história, assinale a alternativa correta.	São marcos importantes na história do desenvolvimendo do projeto.	São identificados na reunião de revisão da sprint.	São pontos que identificam as diferentes versões liberadas do projeto.	É a medida de tempo e esforço das histórias do projeto.	4
A definição de preparado é utilizada:	Na reunião de retrospectiva.	Na reunião diária.	No planejamento da sprint.	Na reunião de revisão.	3
